day,infections,hospitalisations,recoveries,deaths
1,1,0,0,0
2,1,0,0,0
3,2,1,0,0
4,2,1,0,0
5,3,1,0,0
6,4,1,0,0
7,5,1,0,0
8,7,2,0,0
9,9,3,0,0
10,11,3,0,0
11,14,4,0,0
12,18,5,1,1
13,23,7,1,1
14,30,9,1,1
15,39,12,1,2
16,49,15,2,2
17,64,19,2,2
18,81,24,3,3
19,106,32,4,4
20,134,40,4,5
21,174,52,6,7
22,221,66,7,9
23,286,86,9,12
24,366,110,11,15
25,470,141,15,20
26,595,178,20,24
27,759,228,25,33
28,961,288,33,42
29,1219,366,42,52
30,1543,463,53,66
31,1937,581,67,85
32,2431,729,86,107
33,3033,910,106,136
34,3755,1126,132,169
35,4584,1375,170,212
36,5562,1668,209,263
37,6632,1990,256,324
38,7790,2337,313,396
39,8983,2695,377,479
40,10156,3047,448,571
